,USDA Symbol,URLS,COUNT,Source,Scientific Name,Common Name,String
446,LIST2,"https://arcadianatives.com/, https://archewild.com/, https://bhwp.org/grow/native-plant-nursery/, https://calyxnativenursery.com/, https://www.ginosnursery.com/, https://www.gonativetrees.com/, https://www.growildinc.com, https://www.heartwoodnurseryinc.com, https://www.musserforests.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, http://www.superiortrees.net",12,"Arcadia Natives Washington, Archewild Quakertown, Bowman's New Hope, Calyx Native Nursery, Gino's Newtown, Go Native Trees, GroWild, Heartwood Felton, Musser Forests Indiana, Overhill Gardens, Redbud Media, Superior Trees",Liquidambar styraciflua,Sweetgum,"Sweetgum (Liquidambar styraciflua): Arcadia Natives Washington, Archewild Quakertown, Bowman's New Hope, Calyx Native Nursery, Gino's Newtown, Go Native Trees, GroWild, Heartwood Felton, Musser Forests Indiana, Overhill Gardens, Redbud Media, Superior Trees"
447,LISU,"https://www.ginosnursery.com/, https://www.keystonewildflowers.com/, https://redbudnative.com/",3,"Gino's Newtown, Keystone Robesonia, Redbud Media",Lilium superbum,Turk'S-Cap Lily,"Turk'S-Cap Lily (Lilium superbum): Gino's Newtown, Keystone Robesonia, Redbud Media"
448,LITU,"https://arcadianatives.com/, https://archewild.com/, https://bhwp.org/grow/native-plant-nursery/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.heartwoodnurseryinc.com, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, http://ruffnermountain.org/, http://www.superiortrees.net",13,"Arcadia Natives Washington, Archewild Quakertown, Bowman's New Hope, David Brothers Norristown, Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, GroWild, Heartwood Felton, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees",Liriodendron tulipifera,Tuliptree,"Tuliptree (Liriodendron tulipifera): Arcadia Natives Washington, Archewild Quakertown, Bowman's New Hope, David Brothers Norristown, Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, GroWild, Heartwood Felton, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees"
449,LOCA2,"https://archewild.com/, https://bbgardens.org/, https://brucenurseries.com/native-plants/, http://www.butterflyoasis.net/, https://calyxnativenursery.com/, https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.growildinc.com, https://hilltophollowfarm.com/, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://www.northbrooknatives.com/, https://www.overhillgardens.com/native-plants.html, http://www.perennialgardens.name, https://redbudnative.com/, http://ruffnermountain.org/, http://www.superiortrees.net, https://www.taitfarmfoodslocal.com",21,"Archewild Quakertown, Birmingham Botanical Gardens, Bruce Nursery, Butterfly Oasis Lancaster, Calyx Native Nursery, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hilltop Hollow Farm, Hungry Hook Bainbridge, Keystone Robesonia, Northbrook Natives Kennet Square, Overhill Gardens, Perennial Gardens New Bloomfield, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, Tait Farm",Lobelia cardinalis,Cardinal Flower,"Cardinal Flower (Lobelia cardinalis): Archewild Quakertown, Birmingham Botanical Gardens, Bruce Nursery, Butterfly Oasis Lancaster, Calyx Native Nursery, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hilltop Hollow Farm, Hungry Hook Bainbridge, Keystone Robesonia, Northbrook Natives Kennet Square, Overhill Gardens, Perennial Gardens New Bloomfield, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, Tait Farm"
450,LOCA7,https://redbudnative.com/,1,Redbud Media,Lonicera canadensis,American Fly Honeysuckle,American Fly Honeysuckle (Lonicera canadensis): Redbud Media
451,LODI2,https://www.taitfarmfoodslocal.com,1,Tait Farm,Lonicera dioica,Limber Honeysuckle,Limber Honeysuckle (Lonicera dioica): Tait Farm
452,LOFL,http://www.superiortrees.net,1,Superior Trees,Lonicera flava,Yellow Honeysuckle,Yellow Honeysuckle (Lonicera flava): Superior Trees
453,LOPU,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Lobelia puberula,Downy Lobelia,"Downy Lobelia (Lobelia puberula): GroWild, Overhill Gardens"
454,LOSE,"https://calyxnativenursery.com/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, http://foxhillgardens.com, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.meadowsweetnative.com, https://www.northbrooknatives.com/, https://www.overhillgardens.com/native-plants.html, www.facebook.com/recreativenatives/, https://redbudnative.com/, http://ruffnermountain.org/, http://www.superiortrees.net",14,"Calyx Native Nursery, David Brothers Norristown, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Meadowsweet Native York, Northbrook Natives Kennet Square, Overhill Gardens, Recreative Natives, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees",Lonicera sempervirens,Trumpet Honeysuckle,"Trumpet Honeysuckle (Lonicera sempervirens): Calyx Native Nursery, David Brothers Norristown, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Meadowsweet Native York, Northbrook Natives Kennet Square, Overhill Gardens, Recreative Natives, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees"
455,LOSI,"https://archewild.com/, https://bbgardens.org/, https://bhwp.org/grow/native-plant-nursery/, http://www.butterflyoasis.net/, https://calyxnativenursery.com/, https://www.diakon.org/wilderness-greenhouse/, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.goodhostplants.com/plant-availability/, https://www.growildinc.com, https://hilltophollowfarm.com/, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://www.northbrooknatives.com/, https://www.overhillgardens.com/native-plants.html, http://www.perennialgardens.name, https://redbudnative.com/, http://ruffnermountain.org/, http://www.superiortrees.net, https://www.taitfarmfoodslocal.com",20,"Archewild Quakertown, Birmingham Botanical Gardens, Bowman's New Hope, Butterfly Oasis Lancaster, Calyx Native Nursery, Diakon Boiling Springs, Friendship Farms Latrobe, Gino's Newtown, Good Host Plants Philly, GroWild, Hilltop Hollow Farm, Hungry Hook Bainbridge, Keystone Robesonia, Northbrook Natives Kennet Square, Overhill Gardens, Perennial Gardens New Bloomfield, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, Tait Farm",Lobelia siphilitica,Great Blue Lobelia,"Great Blue Lobelia (Lobelia siphilitica): Archewild Quakertown, Birmingham Botanical Gardens, Bowman's New Hope, Butterfly Oasis Lancaster, Calyx Native Nursery, Diakon Boiling Springs, Friendship Farms Latrobe, Gino's Newtown, Good Host Plants Philly, GroWild, Hilltop Hollow Farm, Hungry Hook Bainbridge, Keystone Robesonia, Northbrook Natives Kennet Square, Overhill Gardens, Perennial Gardens New Bloomfield, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, Tait Farm"
456,LOSP,"https://edgeofthewoodsnursery.com/, http://www.hungryhookfarm.com/, https://www.taitfarmfoodslocal.com",3,"Edge of the Woods Orefield, Hungry Hook Bainbridge, Tait Farm",Lobelia spicata,Palespike Lobelia,"Palespike Lobelia (Lobelia spicata): Edge of the Woods Orefield, Hungry Hook Bainbridge, Tait Farm"
457,LUAL2,"https://archewild.com/, http://www.hungryhookfarm.com/, https://redbudnative.com/",3,"Archewild Quakertown, Hungry Hook Bainbridge, Redbud Media",Ludwigia alternifolia,Seedbox,"Seedbox (Ludwigia alternifolia): Archewild Quakertown, Hungry Hook Bainbridge, Redbud Media"
458,LUPE3,"https://archewild.com/, https://calyxnativenursery.com/, https://www.keystonewildflowers.com/",3,"Archewild Quakertown, Calyx Native Nursery, Keystone Robesonia",Lupinus perennis,Wild Lupine,"Wild Lupine (Lupinus perennis): Archewild Quakertown, Calyx Native Nursery, Keystone Robesonia"
459,LYCI,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, https://www.taitfarmfoodslocal.com",3,"GroWild, Overhill Gardens, Tait Farm",Lysimachia ciliata,Fringed Loosestrife,"Fringed Loosestrife (Lysimachia ciliata): GroWild, Overhill Gardens, Tait Farm"
460,LYFE,http://www.superiortrees.net,1,Superior Trees,Lyonia ferruginea,Rusty Staggerbush,Rusty Staggerbush (Lyonia ferruginea): Superior Trees
461,LYHY,https://calyxnativenursery.com/,1,Calyx Native Nursery,Lysimachia hybrida,Lowland Yellow Loosestrife,Lowland Yellow Loosestrife (Lysimachia hybrida): Calyx Native Nursery
462,LYLA,"https://www.ginosnursery.com/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/",4,"Gino's Newtown, GroWild, Overhill Gardens, Redbud Media",Lysimachia lanceolata,Lanceleaf Loosestrife,"Lanceleaf Loosestrife (Lysimachia lanceolata): Gino's Newtown, GroWild, Overhill Gardens, Redbud Media"
463,LYLU3,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Lyonia lucida,Fetterbush Lyonia,"Fetterbush Lyonia (Lyonia lucida): GroWild, Overhill Gardens"
464,LYVI4,http://ruffnermountain.org/,1,Ruffner Mountain Nature Preserve,Lycopus virginicus,Virginia Water Horehound,Virginia Water Horehound (Lycopus virginicus): Ruffner Mountain Nature Preserve
465,MAAC,"https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, http://www.superiortrees.net",4,"David Brothers Norristown, GroWild, Overhill Gardens, Superior Trees",Magnolia acuminata,Cucumber Tree,"Cucumber Tree (Magnolia acuminata): David Brothers Norristown, GroWild, Overhill Gardens, Superior Trees"
466,MAAN3,"bigmulberrynursery.com/, http://www.superiortrees.net",2,"Big Mulberry, Superior Trees",Malus angustifolia,Southern Crab Apple,"Southern Crab Apple (Malus angustifolia): Big Mulberry, Superior Trees"
467,MAAQ2,www.facebook.com/BloominMiracles/,1,Bloomin Miracles,Mahonia aquifolium,Hollyleaved Barberry,Hollyleaved Barberry (Mahonia aquifolium): Bloomin Miracles
468,MAAR7,http://www.wildlifegroup.com,1,The Wildlife Group,Malus Ã—arnoldiana,Crab Apple,Crab Apple (Malus Ã—arnoldiana): The Wildlife Group
469,MACA4,http://foxhillgardens.com,1,Fox Hill Gardens,Maianthemum canadense,Canada Mayflower,Canada Mayflower (Maianthemum canadense): Fox Hill Gardens
470,MACO5,https://edgeofthewoodsnursery.com/,1,Edge of the Woods Orefield,Malus coronaria,Sweet Crab Apple,Sweet Crab Apple (Malus coronaria): Edge of the Woods Orefield
471,MADI,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Maianthemum dilatatum,False Lily Of The Valley,"False Lily Of The Valley (Maianthemum dilatatum): GroWild, Overhill Gardens"
472,MAFR,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Magnolia fraseri,Mountain Magnolia,"Mountain Magnolia (Magnolia fraseri): GroWild, Overhill Gardens"
473,MAGR4,"www.facebook.com/BloominMiracles/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, http://www.superiortrees.net, http://www.wildlifegroup.com",7,"Bloomin Miracles, David Brothers Norristown, Gino's Newtown, GroWild, Overhill Gardens, Superior Trees, The Wildlife Group",Magnolia grandiflora,Southern Magnolia,"Southern Magnolia (Magnolia grandiflora): Bloomin Miracles, David Brothers Norristown, Gino's Newtown, GroWild, Overhill Gardens, Superior Trees, The Wildlife Group"
474,MAPO,"https://www.gonativetrees.com/, https://www.musserforests.com/",2,"Go Native Trees, Musser Forests Indiana",Maclura pomifera,Osage Orange,"Osage Orange (Maclura pomifera): Go Native Trees, Musser Forests Indiana"
475,MARA7,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Maianthemum racemosum,Feathery False Lily Of The Valley,Feathery False Lily Of The Valley (Maianthemum racemosum): Hungry Hook Bainbridge
476,MAST,"https://bhwp.org/grow/native-plant-nursery/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html, http://www.perennialgardens.name, https://redbudnative.com/",13,"Bowman's New Hope, David Brothers Norristown, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Perennial Gardens New Bloomfield, Redbud Media",Matteuccia struthiopteris,Ostrich Fern,"Ostrich Fern (Matteuccia struthiopteris): Bowman's New Hope, David Brothers Norristown, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Perennial Gardens New Bloomfield, Redbud Media"
477,MAST4,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Maianthemum stellatum,Starry False Lily Of The Valley,"Starry False Lily Of The Valley (Maianthemum stellatum): GroWild, Overhill Gardens"
478,MATR,"https://arcadianatives.com/, https://archewild.com/, https://edgeofthewoodsnursery.com/, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",6,"Arcadia Natives Washington, Archewild Quakertown, Edge of the Woods Orefield, Gino's Newtown, GroWild, Overhill Gardens",Magnolia tripetala,Umbrella-Tree,"Umbrella-Tree (Magnolia tripetala): Arcadia Natives Washington, Archewild Quakertown, Edge of the Woods Orefield, Gino's Newtown, GroWild, Overhill Gardens"
479,MAVI2,"https://arcadianatives.com/, https://archewild.com/, https://bhwp.org/grow/native-plant-nursery/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://edgeofthewoodsnursery.com/, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.heartwoodnurseryinc.com, https://hilltophollowfarm.com/, https://www.northbrooknatives.com/, https://www.overhillgardens.com/native-plants.html, www.facebook.com/recreativenatives/, https://redbudnative.com/, http://www.superiortrees.net",14,"Arcadia Natives Washington, Archewild Quakertown, Bowman's New Hope, David Brothers Norristown, Edge of the Woods Orefield, Gino's Newtown, GroWild, Heartwood Felton, Hilltop Hollow Farm, Northbrook Natives Kennet Square, Overhill Gardens, Recreative Natives, Redbud Media, Superior Trees",Magnolia virginiana,Sweetbay,"Sweetbay (Magnolia virginiana): Arcadia Natives Washington, Archewild Quakertown, Bowman's New Hope, David Brothers Norristown, Edge of the Woods Orefield, Gino's Newtown, GroWild, Heartwood Felton, Hilltop Hollow Farm, Northbrook Natives Kennet Square, Overhill Gardens, Recreative Natives, Redbud Media, Superior Trees"
480,MAVI5,"https://www.ginosnursery.com/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, http://ruffnermountain.org/",4,"Gino's Newtown, GroWild, Overhill Gardens, Ruffner Mountain Nature Preserve",Manfreda virginica,False Aloe,"False Aloe (Manfreda virginica): Gino's Newtown, GroWild, Overhill Gardens, Ruffner Mountain Nature Preserve"
481,MEAR4,https://edgeofthewoodsnursery.com/,1,Edge of the Woods Orefield,Mentha arvensis,Wild Mint,Wild Mint (Mentha arvensis): Edge of the Woods Orefield
482,MECA3,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Menispermum canadense,Common Moonseed,Common Moonseed (Menispermum canadense): Hungry Hook Bainbridge
483,MEPI,"http://foxhillgardens.com, https://www.hannasgardenshop.com/",2,"Fox Hill Gardens, Hanna's Garden Shop",Mentha Ã—piperita,Peppermint,"Peppermint (Mentha Ã—piperita): Fox Hill Gardens, Hanna's Garden Shop"
484,MEVI,https://www.ginosnursery.com/,1,Gino's Newtown,Medeola virginiana,Indian Cucumber,Indian Cucumber (Medeola virginiana): Gino's Newtown
485,MEVI3,"https://archewild.com/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://www.diakon.org/wilderness-greenhouse/, https://www.ginosnursery.com/, https://www.growildinc.com, https://hilltophollowfarm.com/, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html, http://www.perennialgardens.name, https://redbudnative.com/",11,"Archewild Quakertown, David Brothers Norristown, Diakon Boiling Springs, Gino's Newtown, GroWild, Hilltop Hollow Farm, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Perennial Gardens New Bloomfield, Redbud Media",Mertensia virginica,Virginia Bluebells,"Virginia Bluebells (Mertensia virginica): Archewild Quakertown, David Brothers Norristown, Diakon Boiling Springs, Gino's Newtown, GroWild, Hilltop Hollow Farm, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Perennial Gardens New Bloomfield, Redbud Media"
486,MIRE,"http://foxhillgardens.com, https://www.ginosnursery.com/, https://www.heartwoodnurseryinc.com, https://www.keystonewildflowers.com/, https://redbudnative.com/, http://ruffnermountain.org/, http://www.superiortrees.net",7,"Fox Hill Gardens, Gino's Newtown, Heartwood Felton, Keystone Robesonia, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees",Mitchella repens,Partridgeberry,"Partridgeberry (Mitchella repens): Fox Hill Gardens, Gino's Newtown, Heartwood Felton, Keystone Robesonia, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees"
487,MIRI,"https://archewild.com/, https://www.ginosnursery.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html, http://www.perennialgardens.name, https://redbudnative.com/, https://www.taitfarmfoodslocal.com",9,"Archewild Quakertown, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Perennial Gardens New Bloomfield, Redbud Media, Tait Farm",Mimulus ringens,Allegheny Monkeyflower,"Allegheny Monkeyflower (Mimulus ringens): Archewild Quakertown, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Perennial Gardens New Bloomfield, Redbud Media, Tait Farm"
488,MOBR2,"https://bbgardens.org/, https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html",8,"Birmingham Botanical Gardens, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, GroWild, Keystone Robesonia, Overhill Gardens",Monarda bradburiana,Eastern Beebalm,"Eastern Beebalm (Monarda bradburiana): Birmingham Botanical Gardens, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, GroWild, Keystone Robesonia, Overhill Gardens"
489,MOCE2,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, http://ruffnermountain.org/",3,"GroWild, Overhill Gardens, Ruffner Mountain Nature Preserve",Morella cerifera,Wax Myrtle,"Wax Myrtle (Morella cerifera): GroWild, Overhill Gardens, Ruffner Mountain Nature Preserve"
490,MOCL,"http://www.hungryhookfarm.com/, https://www.taitfarmfoodslocal.com",2,"Hungry Hook Bainbridge, Tait Farm",Monarda clinopodia,White Bergamot,"White Bergamot (Monarda clinopodia): Hungry Hook Bainbridge, Tait Farm"
491,MOCL2,"http://www.hungryhookfarm.com/, https://www.taitfarmfoodslocal.com",2,"Hungry Hook Bainbridge, Tait Farm",Monarda clinopodioides,Basil Beebalm,"Basil Beebalm (Monarda clinopodioides): Hungry Hook Bainbridge, Tait Farm"
492,MODI,"https://archewild.com/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, https://www.ginosnursery.com/, https://www.goodhostplants.com/plant-availability/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://www.northbrooknatives.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, https://www.taitfarmfoodslocal.com",14,"Archewild Quakertown, David Brothers Norristown, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, Good Host Plants Philly, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Northbrook Natives Kennet Square, Overhill Gardens, Redbud Media, Tait Farm",Monarda didyma,Scarlet Beebalm,"Scarlet Beebalm (Monarda didyma): Archewild Quakertown, David Brothers Norristown, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, Gino's Newtown, Good Host Plants Philly, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Northbrook Natives Kennet Square, Overhill Gardens, Redbud Media, Tait Farm"
493,MOFI,"https://archewild.com/, https://bbgardens.org/, http://www.butterflyoasis.net/, https://calyxnativenursery.com/, https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://www.northbrooknatives.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, http://ruffnermountain.org/, http://www.superiortrees.net, https://www.taitfarmfoodslocal.com",18,"Archewild Quakertown, Birmingham Botanical Gardens, Butterfly Oasis Lancaster, Calyx Native Nursery, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Northbrook Natives Kennet Square, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, Tait Farm",Monarda fistulosa,Wild Bergamot,"Wild Bergamot (Monarda fistulosa): Archewild Quakertown, Birmingham Botanical Gardens, Butterfly Oasis Lancaster, Calyx Native Nursery, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Northbrook Natives Kennet Square, Overhill Gardens, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, Tait Farm"
494,MOFR2,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Monarda fruticulosa,Spotted Beebalm,Spotted Beebalm (Monarda fruticulosa): Hungry Hook Bainbridge
495,MOME,https://www.keystonewildflowers.com/,1,Keystone Robesonia,Monarda media,Purple Bergamot,Purple Bergamot (Monarda media): Keystone Robesonia
496,MOPE6,"https://arcadianatives.com/, https://www.heartwoodnurseryinc.com, http://www.hungryhookfarm.com/, https://www.meadowsweetnative.com, https://www.musserforests.com/",5,"Arcadia Natives Washington, Heartwood Felton, Hungry Hook Bainbridge, Meadowsweet Native York, Musser Forests Indiana",Morella pensylvanica,Northern Bayberry,"Northern Bayberry (Morella pensylvanica): Arcadia Natives Washington, Heartwood Felton, Hungry Hook Bainbridge, Meadowsweet Native York, Musser Forests Indiana"
497,MOPU,"https://archewild.com/, https://bbgardens.org/, https://www.diakon.org/wilderness-greenhouse/, https://www.ginosnursery.com/, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://www.northbrooknatives.com/, www.facebook.com/recreativenatives/, https://redbudnative.com/, http://ruffnermountain.org/",10,"Archewild Quakertown, Birmingham Botanical Gardens, Diakon Boiling Springs, Gino's Newtown, Hungry Hook Bainbridge, Keystone Robesonia, Northbrook Natives Kennet Square, Recreative Natives, Redbud Media, Ruffner Mountain Nature Preserve",Monarda punctata,Dotted Mint,"Dotted Mint (Monarda punctata): Archewild Quakertown, Birmingham Botanical Gardens, Diakon Boiling Springs, Gino's Newtown, Hungry Hook Bainbridge, Keystone Robesonia, Northbrook Natives Kennet Square, Recreative Natives, Redbud Media, Ruffner Mountain Nature Preserve"
498,MORU2,"http://foxhillgardens.com, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.musserforests.com/, https://www.overhillgardens.com/native-plants.html, http://www.perennialgardens.name, http://www.superiortrees.net, http://www.wildlifegroup.com",8,"Fox Hill Gardens, Gino's Newtown, GroWild, Musser Forests Indiana, Overhill Gardens, Perennial Gardens New Bloomfield, Superior Trees, The Wildlife Group",Morus rubra,Red Mulberry,"Red Mulberry (Morus rubra): Fox Hill Gardens, Gino's Newtown, GroWild, Musser Forests Indiana, Overhill Gardens, Perennial Gardens New Bloomfield, Superior Trees, The Wildlife Group"
499,MUCA2,"https://www.diakon.org/wilderness-greenhouse/, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",4,"Diakon Boiling Springs, Gino's Newtown, GroWild, Overhill Gardens",Muhlenbergia capillaris,Hairawn Muhly,"Hairawn Muhly (Muhlenbergia capillaris): Diakon Boiling Springs, Gino's Newtown, GroWild, Overhill Gardens"
500,MUSC,https://archewild.com/,1,Archewild Quakertown,Muhlenbergia schreberi,Nimblewill,Nimblewill (Muhlenbergia schreberi): Archewild Quakertown
501,MYGA,https://www.ginosnursery.com/,1,Gino's Newtown,Myrica gale,Sweetgale,Sweetgale (Myrica gale): Gino's Newtown
502,NADI2,https://edgeofthewoodsnursery.com/,1,Edge of the Woods Orefield,Napaea dioica,Glademallow,Glademallow (Napaea dioica): Edge of the Woods Orefield
503,NELU,https://redbudnative.com/,1,Redbud Media,Nelumbo lutea,American Lotus,American Lotus (Nelumbo lutea): Redbud Media
504,NUCA,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Nuttallanthus canadensis,Canada Toadflax,Canada Toadflax (Nuttallanthus canadensis): Hungry Hook Bainbridge
505,NYAQ2,http://www.superiortrees.net,1,Superior Trees,Nyssa aquatica,Water Tupelo,Water Tupelo (Nyssa aquatica): Superior Trees
506,NYBI,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, http://www.superiortrees.net",3,"GroWild, Overhill Gardens, Superior Trees",Nyssa biflora,Swamp Tupelo,"Swamp Tupelo (Nyssa biflora): GroWild, Overhill Gardens, Superior Trees"
507,NYOD,https://redbudnative.com/,1,Redbud Media,Nymphaea odorata,American White Waterlily,American White Waterlily (Nymphaea odorata): Redbud Media
508,NYOG,"https://www.gonativetrees.com/, http://www.superiortrees.net",2,"Go Native Trees, Superior Trees",Nyssa ogeche,Ogeechee Tupelo,"Ogeechee Tupelo (Nyssa ogeche): Go Native Trees, Superior Trees"
